715,spiddle0,31/07/1581,54.83
642,mwarton1,04/12/1943,21.71
895,mbriar2,17/12/1679,1.23
123,lfarnish3,09/12/1640,99.64
776,obritland4,13/01/1598,65.62
517,djayume5,01/12/1956,11.75
45,bvickarman6,09/10/1320,1.5
188,barr7,28/10/1424,73.87
697,aoylett8,09/04/1676,29.17
439,amelbury9,24/05/1009,13.48
699,nbishopa,26/04/1455,51.19
203,mstringfellowb,12/06/1934,39.5
248,pgartlandc,26/12/1252,62.0
773,mespinosd,08/03/1313,86.71
292,bmcgoldricke,03/08/1715,69.99
3,boscanlonf,27/08/1104,86.09
54,bbyattg,31/01/1582,17.34
165,chanselmannh,17/02/1808,54.7
150,owoodcrofti,16/04/1647,10.27
710,pexellj,09/03/1856,20.57
148,spennamank,07/07/1137,27.63
400,acreasel,15/06/1499,41.89
92,krohlfm,08/08/1048,8.82
955,acronkshawn,01/02/1047,32.55
181,scotilardo,13/04/1827,5.97
597,asainsberryp,26/06/1443,57.53
763,kluckhurstq,14/10/1851,83.06
764,kklimowiczr,19/02/1705,66.14
250,wstonhards,29/08/1925,4.4
842,cfeldbrint,30/05/1162,57.18
665,apetrieu,24/11/1693,50.34
394,qzamboniniv,14/08/1993,15.37
153,weastabrookw,27/06/1571,87.75
971,beykelhofx,01/05/1138,10.63
356,ahargitty,30/03/1524,72.03
975,slangdonz,07/06/1627,72.62
306,cmedwell10,26/07/1095,18.99
191,ukeneford11,28/12/1438,5.75
529,osigg12,15/01/1522,75.01
503,vizzatt13,12/05/1759,19.07
628,csivil14,03/04/1839,84.93
714,vbarnwall15,15/01/1862,15.92
110,hlamden16,17/05/1190,70.26
693,clomaz17,13/04/1959,80.01
937,bkarczinski18,01/05/1218,32.45
469,cchalcraft19,11/07/1447,73.53
858,lcornick1a,07/03/1502,6.39
291,fharrowsmith1b,05/07/1482,33.84
864,ifeehely1c,10/07/1503,69.06
597,dtefft1d,18/02/1118,81.49
674,nfullard1e,14/02/1863,69.6
165,jotridge1f,24/11/1388,72.69
131,padne1g,22/02/1401,58.18
82,tferrarello1h,03/08/1465,79.14
325,jsummerson1i,25/01/2020,58.78
558,vcouttes1j,15/01/1527,43.11
380,spetry1k,08/02/1790,98.37
81,whadley1l,22/09/1247,51.11
790,gferraresi1m,31/12/1210,71.13
158,claughtisse1n,15/10/1343,69.71
576,bschettini1o,12/11/1861,56.05
